date,code,name,open,close,high,low,volume,amount,pct_chg,index_return
2023-09-07,000300,沪深300,3802.227,3758.475,3802.227,3756.853,9510390300,,-1.404842776600801,-0.014148040967048338
2023-09-08,000300,沪深300,3747.651,3739.993,3753.263,3724.987,7163816600,,-0.49174199642142424,-0.004929550256599687
2023-09-11,000300,沪深300,3740.585,3767.537,3788.322,3734.723,10535801600,,0.7364719666587582,0.007337732539452556
2023-09-12,000300,沪深300,3764.333,3760.605,3775.093,3755.416,7938537800,,-0.18399288447598083,-0.0018416235929664898
2023-09-13,000300,沪深300,3759.609,3736.651,3768.816,3719.111,8157690100,,-0.6369719765835558,-0.006390092991354124
2023-09-14,000300,沪深300,3736.936,3733.508,3748.818,3717.311,10038607500,,-0.08411275230145732,-0.0008414814692594299
2023-09-15,000300,沪深300,3740.785,3708.777,3749.025,3699.381,10939568900,,-0.6624065088383313,-0.006646101575522798
2023-09-18,000300,沪深300,3698.934,3727.711,3737.531,3691.111,8672774100,,0.5105186965945752,0.005092199681888862
2023-09-19,000300,沪深300,3723.424,3720.502,3724.072,3702.693,8319903800,,-0.19338945535208873,-0.0019357669419836267
2023-09-20,000300,沪深300,3715.958,3705.69,3718.521,3705.127,7544820900,,-0.39811831844197565,-0.003989129190876952
2023-09-21,000300,沪深300,3698.313,3672.445,3708.456,3672.445,8303100500,,-0.8971338671070694,-0.009011823446829976
2023-09-22,000300,沪深300,3672.64,3738.933,3740.418,3664.766,11023116600,,1.810455976876435,0.017942623825201634
2023-09-25,000300,沪深300,3738.062,3714.604,3738.062,3711.205,9259647900,,-0.6506936604640967,-0.00652819900219981
2023-09-26,000300,沪深300,3711.711,3692.893,3723.848,3692.617,7804452500,,-0.584476837907888,-0.005861915885897082
2023-09-27,000300,沪深300,3694.961,3700.495,3731.141,3694.394,9162921000,,0.20585486771482753,0.0020564327691223712
2023-09-28,000300,沪深300,3711.212,3689.517,3716.057,3685.3,8522171900,,-0.2966630140021853,-0.0029710393096252187
2023-10-09,000300,沪深300,3678.929,3684.727,3694.171,3641.997,10214805800,,-0.12982729175661234,-0.001299116403979783
2023-10-10,000300,沪深300,3696.254,3657.126,3701.256,3655.589,9916373000,,-0.7490649917890724,-0.007518845727524856
2023-10-11,000300,沪深300,3674.751,3667.548,3689.535,3658.355,10209158700,,0.2849778760698918,0.0028457258393334473
2023-10-12,000300,沪深300,3697.934,3702.382,3711.499,3682.842,11436322500,,0.9497898868672028,0.009453077410166152
2023-10-13,000300,沪深300,3677.959,3663.41,3678.191,3652.309,9828798700,,-1.0526196378439656,-0.010581988649180044
2023-10-16,000300,沪深300,3664.039,3626.597,3664.039,3615.769,9185311800,,-1.004883428281289,-0.010099664628542318
2023-10-17,000300,沪深300,3635.299,3639.402,3645.565,3619.128,9074518800,,0.35308582674060673,0.003524639421630025
2023-10-18,000300,沪深300,3631.067,3610.577,3632.058,3608.977,9454587900,,-0.7920257229072192,-0.007951789070244058
2023-10-19,000300,沪深300,3588.515,3533.545,3588.515,3532.306,11173752000,,-2.133509408606993,-0.021565977051726627
2023-10-20,000300,沪深300,3518.346,3510.589,3535.662,3501.725,9851860500,,-0.649659194944463,-0.006517786648332967
