date,code,close
2021-01-04,000799,359.18
2021-01-05,000799,372.84
2021-01-06,000799,371.26
2021-01-07,000799,408.38
2021-01-08,000799,402.68
2021-01-11,000799,409.57
2021-01-12,000799,450.52
2021-01-13,000799,476.5
2021-01-14,000799,428.84
2021-01-15,000799,385.97
2021-01-18,000799,368.67
2021-01-19,000799,372.53
2021-01-20,000799,377.64
2021-01-21,000799,384.74
2021-01-22,000799,374.28
2021-01-25,000799,405.98
2021-01-26,000799,387.49
2021-01-27,000799,360.24
2021-01-28,000799,362.2
2021-01-29,000799,369.67
2021-02-01,000799,372.91
2021-02-02,000799,384.95
2021-02-03,000799,387.91
2021-02-04,000799,388.1
2021-02-05,000799,385.99
2021-02-08,000799,363.64
2021-02-09,000799,376.93
2021-02-10,000799,388.49
2021-02-18,000799,364.46
2021-02-19,000799,360.91
2021-02-22,000799,324.82
2021-02-23,000799,321.39
2021-02-24,000799,295.61
2021-02-25,000799,285.21
2021-02-26,000799,288.34
2021-03-01,000799,287.93
2021-03-02,000799,281.94
2021-03-03,000799,300.4
2021-03-04,000799,281.42
2021-03-05,000799,285.69
2021-03-08,000799,267.04
2021-03-09,000799,256.84
2021-03-10,000799,271.76
2021-03-11,000799,293.12
2021-03-12,000799,292.52
2021-03-15,000799,271.21
2021-03-16,000799,279.1
2021-03-17,000799,283.13
2021-03-18,000799,305.68
2021-03-19,000799,298.55
2021-03-22,000799,291.68
2021-03-23,000799,291.68
2021-03-24,000799,290.56
2021-03-25,000799,288.78
2021-03-26,000799,302.05
2021-03-29,000799,330.01
2021-03-30,000799,326.67
2021-03-31,000799,317.47
2021-04-01,000799,329.76
2021-04-02,000799,362.75
2021-04-06,000799,369.78
2021-04-07,000799,348.83
2021-04-08,000799,372.01
2021-04-09,000799,357.3
2021-04-12,000799,353.13
2021-04-13,000799,355.8
2021-04-14,000799,365.06
2021-04-15,000799,362.93
2021-04-16,000799,368.19
2021-04-19,000799,365.96
2021-04-20,000799,382.23
2021-04-21,000799,394.13
2021-04-22,000799,400.41
2021-04-23,000799,401.68
2021-04-26,000799,402.08
2021-04-27,000799,405.18
2021-04-28,000799,423.54
2021-04-29,000799,412.92
2021-04-30,000799,414.61
2021-05-06,000799,410.28
2021-05-07,000799,392.02
2021-05-10,000799,398.09
2021-05-11,000799,423.77
2021-05-12,000799,452.75
2021-05-13,000799,455.76
2021-05-14,000799,457.51
2021-05-17,000799,465.27
2021-05-18,000799,476.04
2021-05-19,000799,456.93
2021-05-20,000799,496.57
2021-05-21,000799,487.91
2021-05-24,000799,492.15
2021-05-25,000799,497.61
2021-05-26,000799,492.4
2021-05-27,000799,498.64
2021-05-28,000799,497.51
2021-05-31,000799,514.51
2021-06-01,000799,499.26
2021-06-02,000799,480.05
2021-06-03,000799,502.83
2021-06-04,000799,527.45
2021-06-07,000799,542.28
2021-06-08,000799,488.06
2021-06-09,000799,471.47
2021-06-10,000799,487.56
2021-06-11,000799,496.57
2021-06-15,000799,521.57
2021-06-16,000799,522.73
2021-06-17,000799,560.08
2021-06-18,000799,562.75
2021-06-21,000799,536.5
2021-06-22,000799,569.03
2021-06-23,000799,538.26
2021-06-24,000799,519.77
2021-06-25,000799,537.23
2021-06-28,000799,539.95
2021-06-29,000799,527.87
2021-06-30,000799,533.29
2021-07-01,000799,546.64
2021-07-02,000799,515.35
2021-07-05,000799,535.38
2021-07-06,000799,523.9
2021-07-07,000799,546.98
2021-07-08,000799,536.0
2021-07-09,000799,493.74
2021-07-12,000799,493.93
2021-07-13,000799,510.48
2021-07-14,000799,506.76
2021-07-15,000799,531.19
2021-07-16,000799,511.73
2021-07-19,000799,512.15
2021-07-20,000799,512.45
2021-07-21,000799,517.17
2021-07-22,000799,509.6
2021-07-23,000799,501.06
2021-07-26,000799,450.96
2021-07-27,000799,442.49
2021-07-28,000799,444.58
2021-07-29,000799,435.27
2021-07-30,000799,401.42
2021-08-02,000799,441.56
2021-08-03,000799,443.95
2021-08-04,000799,435.23
2021-08-05,000799,430.98
2021-08-06,000799,441.1
2021-08-09,000799,445.08
2021-08-10,000799,478.89
2021-08-11,000799,473.01
2021-08-12,000799,471.88
2021-08-13,000799,471.8
2021-08-16,000799,468.55
2021-08-17,000799,442.69
2021-08-18,000799,443.93
2021-08-19,000799,437.57
2021-08-20,000799,393.84
2021-08-23,000799,394.53
2021-08-24,000799,422.82
2021-08-25,000799,456.0
2021-08-26,000799,436.27
2021-08-27,000799,445.62
2021-08-30,000799,455.9
2021-08-31,000799,438.26
2021-09-01,000799,449.43
2021-09-02,000799,435.89
2021-09-03,000799,436.79
2021-09-06,000799,471.0
2021-09-07,000799,491.65
2021-09-08,000799,484.66
2021-09-09,000799,490.44
2021-09-10,000799,501.29
2021-09-13,000799,495.92
2021-09-14,000799,493.64
2021-09-15,000799,488.09
2021-09-16,000799,483.97
2021-09-17,000799,532.36
2021-09-22,000799,525.12
2021-09-23,000799,538.93
2021-09-24,000799,543.74
2021-09-27,000799,550.23
2021-09-28,000799,537.89
2021-09-29,000799,524.08
2021-09-30,000799,518.28
2021-10-08,000799,533.7
2021-10-11,000799,523.87
2021-10-12,000799,506.3
2021-10-13,000799,523.24
2021-10-14,000799,531.38
2021-10-15,000799,524.27
2021-10-18,000799,471.84
2021-10-19,000799,483.28
2021-10-20,000799,493.66
2021-10-21,000799,488.32
2021-10-22,000799,488.45
2021-10-25,000799,484.43
2021-10-26,000799,479.62
2021-10-27,000799,467.8
2021-10-28,000799,455.9
2021-10-29,000799,449.62
2021-11-01,000799,441.21
2021-11-02,000799,432.86
2021-11-03,000799,437.25
2021-11-04,000799,446.46
2021-11-05,000799,446.0
2021-11-08,000799,443.74
2021-11-09,000799,440.18
2021-11-10,000799,435.41
2021-11-11,000799,433.07
2021-11-12,000799,426.06
2021-11-15,000799,424.66
2021-11-16,000799,438.09
2021-11-17,000799,429.51
2021-11-18,000799,429.05
2021-11-19,000799,431.44
2021-11-22,000799,441.46
2021-11-23,000799,451.88
2021-11-24,000799,462.78
2021-11-25,000799,459.62
2021-11-26,000799,472.51
2021-11-29,000799,491.61
2021-11-30,000799,469.85
2021-12-01,000799,480.77
2021-12-02,000799,497.49
2021-12-03,000799,508.7
2021-12-06,000799,509.75
2021-12-07,000799,504.83
2021-12-08,000799,505.02
2021-12-09,000799,504.41
2021-12-10,000799,511.99
2021-12-13,000799,499.66
2021-12-14,000799,499.91
2021-12-15,000799,493.66
2021-12-16,000799,483.09
2021-12-17,000799,475.71
2021-12-20,000799,475.92
2021-12-21,000799,465.71
2021-12-22,000799,466.61
2021-12-23,000799,479.1
2021-12-24,000799,477.99
2021-12-27,000799,484.98
2021-12-28,000799,487.05
2021-12-29,000799,452.32
2021-12-30,000799,448.66
2021-12-31,000799,444.58
2022-01-04,000799,438.93
2022-01-05,000799,432.23
2022-01-06,000799,436.21
2022-01-07,000799,414.07
2022-01-10,000799,401.67
2022-01-11,000799,399.6
2022-01-12,000799,403.76
2022-01-13,000799,381.98
2022-01-14,000799,377.44
2022-01-17,000799,376.69
2022-01-18,000799,386.83
2022-01-19,000799,372.4
2022-01-20,000799,378.95
2022-01-21,000799,386.92
2022-01-24,000799,383.13
2022-01-25,000799,362.42
2022-01-26,000799,370.73
2022-01-27,000799,355.03
2022-01-28,000799,343.11
2022-02-07,000799,345.16
2022-02-08,000799,335.79
2022-02-09,000799,345.95
2022-02-10,000799,339.45
2022-02-11,000799,341.33
2022-02-14,000799,339.34
2022-02-15,000799,360.26
2022-02-16,000799,367.71
2022-02-17,000799,365.7
2022-02-18,000799,366.37
2022-02-21,000799,367.23
2022-02-22,000799,355.39
2022-02-23,000799,366.65
2022-02-24,000799,349.07
2022-02-25,000799,355.66
2022-02-28,000799,357.52
2022-03-01,000799,368.38
2022-03-02,000799,360.79
2022-03-03,000799,343.28
2022-03-04,000799,340.85
2022-03-07,000799,322.0
2022-03-08,000799,319.45
2022-03-09,000799,313.19
2022-03-10,000799,336.0
2022-03-11,000799,369.6
2022-03-14,000799,334.74
2022-03-15,000799,338.03
2022-03-16,000799,355.03
2022-03-17,000799,355.01
2022-03-18,000799,349.18
2022-03-21,000799,340.08
2022-03-22,000799,331.5
2022-03-23,000799,339.95
2022-03-24,000799,329.43
2022-03-25,000799,315.66
2022-03-28,000799,304.36
2022-03-29,000799,303.38
2022-03-30,000799,316.66
2022-03-31,000799,309.43
2022-04-01,000799,330.18
2022-04-06,000799,325.39
2022-04-07,000799,321.56
2022-04-08,000799,315.39
2022-04-11,000799,296.79
2022-04-12,000799,319.15
2022-04-13,000799,316.96
2022-04-14,000799,338.72
2022-04-15,000799,335.54
2022-04-18,000799,330.77
2022-04-19,000799,325.45
2022-04-20,000799,326.37
2022-04-21,000799,316.52
2022-04-22,000799,318.36
2022-04-25,000799,294.2
2022-04-26,000799,291.41
2022-04-27,000799,302.29
2022-04-28,000799,322.52
2022-04-29,000799,313.42
2022-05-05,000799,309.24
2022-05-06,000799,293.96
2022-05-09,000799,287.06
2022-05-10,000799,289.66
2022-05-11,000799,295.03
2022-05-12,000799,296.35
2022-05-13,000799,296.41
2022-05-16,000799,289.53
2022-05-17,000799,292.56
2022-05-18,000799,290.83
2022-05-19,000799,288.07
2022-05-20,000799,302.21
2022-05-23,000799,301.58
2022-05-24,000799,290.89
2022-05-25,000799,289.28
2022-05-26,000799,295.41
2022-05-27,000799,299.36
2022-05-30,000799,305.35
2022-05-31,000799,328.42
2022-06-01,000799,330.56
2022-06-02,000799,324.87
2022-06-06,000799,332.88
2022-06-07,000799,347.4
2022-06-08,000799,354.34
2022-06-09,000799,350.26
2022-06-10,000799,351.67
2022-06-13,000799,346.21
2022-06-14,000799,348.15
2022-06-15,000799,361.94
2022-06-16,000799,357.25
2022-06-17,000799,363.11
2022-06-20,000799,376.16
2022-06-21,000799,387.46
2022-06-22,000799,383.26
2022-06-23,000799,384.47
2022-06-24,000799,387.0
2022-06-27,000799,387.25
2022-06-28,000799,374.7
2022-06-29,000799,366.35
2022-06-30,000799,388.74
2022-07-01,000799,379.49
2022-07-04,000799,380.62
2022-07-05,000799,369.99
2022-07-06,000799,356.04
2022-07-07,000799,355.45
2022-07-08,000799,357.82
2022-07-11,000799,342.06
2022-07-12,000799,340.24
2022-07-13,000799,339.05
2022-07-14,000799,337.65
2022-07-15,000799,340.83
2022-07-18,000799,336.12
2022-07-19,000799,339.66
2022-07-20,000799,340.54
2022-07-21,000799,334.32
2022-07-22,000799,330.77
2022-07-25,000799,330.16
2022-07-26,000799,333.17
2022-07-27,000799,327.56
2022-07-28,000799,326.02
2022-07-29,000799,311.12
2022-08-01,000799,315.05
2022-08-02,000799,306.33
2022-08-03,000799,306.75
2022-08-04,000799,315.15
2022-08-05,000799,318.13
2022-08-08,000799,318.59
2022-08-09,000799,315.38
2022-08-10,000799,308.99
2022-08-11,000799,319.2
2022-08-12,000799,322.62
2022-08-15,000799,318.46
2022-08-16,000799,322.47
2022-08-17,000799,322.75
2022-08-18,000799,312.7
2022-08-19,000799,310.13
2022-08-22,000799,310.97
2022-08-23,000799,306.02
2022-08-24,000799,299.79
2022-08-25,000799,309.2
2022-08-26,000799,314.33
2022-08-29,000799,316.35
2022-08-30,000799,307.81
2022-08-31,000799,314.9
2022-09-01,000799,307.81
2022-09-02,000799,303.17
2022-09-05,000799,290.99
2022-09-06,000799,292.2
2022-09-07,000799,288.86
2022-09-08,000799,287.58
2022-09-09,000799,288.78
2022-09-13,000799,289.16
2022-09-14,000799,282.07
2022-09-15,000799,276.42
2022-09-16,000799,265.15
2022-09-19,000799,263.84
2022-09-20,000799,271.18
2022-09-21,000799,267.2
2022-09-22,000799,259.29
2022-09-23,000799,257.2
2022-09-26,000799,257.39
2022-09-27,000799,276.4
2022-09-28,000799,270.02
2022-09-29,000799,269.88
2022-09-30,000799,265.09
2022-10-10,000799,250.87
2022-10-11,000799,248.84
2022-10-12,000799,248.04
2022-10-13,000799,246.04
2022-10-14,000799,260.51
2022-10-17,000799,263.65
2022-10-18,000799,260.38
2022-10-19,000799,253.17
2022-10-20,000799,256.33
2022-10-21,000799,250.64
2022-10-24,000799,235.4
2022-10-25,000799,236.04
2022-10-26,000799,241.04
2022-10-27,000799,230.17
2022-10-28,000799,217.3
2022-10-31,000799,215.3
2022-11-01,000799,236.84
2022-11-02,000799,254.54
2022-11-03,000799,257.28
2022-11-04,000799,263.72
2022-11-07,000799,262.49
2022-11-08,000799,256.75
2022-11-09,000799,256.33
2022-11-10,000799,261.23
2022-11-11,000799,259.92
2022-11-14,000799,254.39
2022-11-15,000799,260.55
2022-11-16,000799,260.72
2022-11-17,000799,258.23
2022-11-18,000799,256.65
2022-11-21,000799,243.88
2022-11-22,000799,248.4
2022-11-23,000799,243.91
2022-11-24,000799,241.96
2022-11-25,000799,241.42
2022-11-28,000799,243.42
2022-11-29,000799,252.75
2022-11-30,000799,250.17
2022-12-01,000799,263.97
2022-12-02,000799,260.55
2022-12-05,000799,265.17
2022-12-06,000799,284.43
2022-12-07,000799,287.28
2022-12-08,000799,286.92
2022-12-09,000799,297.05
2022-12-12,000799,287.28
2022-12-13,000799,290.19
2022-12-14,000799,300.59
2022-12-15,000799,295.66
2022-12-16,000799,295.78
2022-12-19,000799,289.07
2022-12-20,000799,279.67
2022-12-21,000799,284.1
2022-12-22,000799,295.53
2022-12-23,000799,304.43
2022-12-26,000799,300.64
2022-12-27,000799,307.05
2022-12-28,000799,298.53
2022-12-29,000799,291.9
2022-12-30,000799,291.02
2023-01-03,000799,285.13
2023-01-04,000799,286.08
2023-01-05,000799,297.41
2023-01-06,000799,292.77
2023-01-09,000799,302.11
2023-01-10,000799,315.53
2023-01-11,000799,310.89
2023-01-12,000799,304.62
2023-01-13,000799,309.45
2023-01-16,000799,317.07
2023-01-17,000799,309.39
2023-01-18,000799,303.91
2023-01-19,000799,299.33
2023-01-20,000799,293.67
2023-01-30,000799,306.12
2023-01-31,000799,296.25
2023-02-01,000799,298.57
2023-02-02,000799,309.83
2023-02-03,000799,305.34
2023-02-06,000799,303.06
2023-02-07,000799,299.69
2023-02-08,000799,294.94
2023-02-09,000799,302.39
2023-02-10,000799,308.97
2023-02-13,000799,326.37
2023-02-14,000799,331.75
2023-02-15,000799,330.49
2023-02-16,000799,346.27
2023-02-17,000799,338.95
2023-02-20,000799,342.11
2023-02-21,000799,334.71
2023-02-22,000799,333.42
2023-02-23,000799,326.21
2023-02-24,000799,321.27
2023-02-27,000799,320.26
2023-02-28,000799,320.66
2023-03-01,000799,319.62
2023-03-02,000799,319.31
2023-03-03,000799,316.44
2023-03-06,000799,318.36
2023-03-07,000799,306.54
2023-03-08,000799,301.8
2023-03-09,000799,296.42
2023-03-10,000799,290.72
2023-03-13,000799,298.21
2023-03-14,000799,291.52
2023-03-15,000799,283.99
2023-03-16,000799,281.12
2023-03-17,000799,270.99
2023-03-20,000799,265.87
2023-03-21,000799,269.75
2023-03-22,000799,267.51
2023-03-23,000799,274.39
2023-03-24,000799,271.37
2023-03-27,000799,268.46
2023-03-28,000799,269.56
2023-03-29,000799,269.58
2023-03-30,000799,275.64
2023-03-31,000799,272.85
2023-04-03,000799,270.28
2023-04-04,000799,268.99
2023-04-06,000799,263.76
2023-04-07,000799,264.2
2023-04-10,000799,262.91
2023-04-11,000799,259.54
2023-04-12,000799,255.38
2023-04-13,000799,255.32
2023-04-14,000799,251.04
2023-04-17,000799,253.17
2023-04-18,000799,251.48
2023-04-19,000799,247.26
2023-04-20,000799,242.89
2023-04-21,000799,239.73
2023-04-24,000799,235.15
